#Table1
objID,ra,dec,specObjID,psfMag_r,modelMag_r,petroMag_r,fiberMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type,class,class_person
1237645943979246090,57.1413598157023,0.853471302059779,1838718842986063872,20.83793,19.59637,19.69095,20.52687,2.922061,1.366723,2.665245,-390.2019,-0.1547865,-27.54385,0.1469633,0.4648837,18.00164,3,3,GALAXY,0
1237645943979246095,57.1432772262475,1.03145787209687,1838717743474436096,20.74754,19.4527,19.52465,20.43619,3.145139,1.485539,2.791786,-463.1629,-8.163912,-64.47924,-0.08916104,0.2125246,19.18742,3,3,GALAXY,0
1237645943979311644,57.2998112863996,0.877198978157959,1838719667619784704,20.70706,19.72873,19.63919,20.54345,3.474878,1.425024,3.336708,-270.4585,-4.067189,-6.591977,-0.5096075,0.1913832,12.40533,3,3,GALAXY,0
1237646587699921530,57.606098217382,0.843822843750817,1838741108096526336,20.18135,19.0881,19.05892,19.91948,2.842889,1.350228,3.048053,-733.0198,-21.08384,-29.50116,-0.06247392,0.3946811,12.29138,3,3,GALAXY,0
1237648702970528053,192.745123498443,-1.15545489636386,328786439292610560,18.09817,16.9222,17.01622,18.21903,4.825194,2.060237,6.353178,-8798.247,-1561.47,-270.341,-0.2763784,-0.4140122,14.76091,3,3,GALAXY,0
1237648702970593413,192.775731381958,-1.11395528769759,328787263926331392,19.04576,17.27871,17.26923,18.87824,6.115266,2.713363,6.917222,-9271.076,-73.1173,-577.2239,0.266925,0.7937177,67.89101,3,3,GALAXY,0
1237648702970593457,192.843557883576,-1.11219352628684,328788638315866112,18.31137,17.71813,17.77909,18.42288,2.363656,1.098342,2.631226,-2453.257,-137.613,-13.32661,0.0681351,0.08797096,7.489682,3,3,GALAXY,0
1237648702970593481,192.863200905324,-1.05010099314138,328788913193773056,17.8964,16.33003,16.46588,17.85322,5.704373,2.425934,7.464174,-17693.14,-2711.564,-12.97045,-0.1002073,0.1259926,14.66305,3,3,GALAXY,0
1237648702970593667,192.751323015281,-1.09472234809957,328786164414703616,20.05323,18.4902,18.45257,20.06327,9.522947,3.374253,10.09456,-621.9553,-119.6364,-10.4366,0.1113418,-0.03296322,13.91143,3,3,GALAXY,0
1237648702970659002,192.955995969585,-1.18700396822664,328774344664705024,18.46659,17.77814,17.82835,18.45745,2.772077,1.195706,3.228955,-2335.595,-290.4648,-7.971962,0.09644726,-0.2094909,7.524895,3,3,GALAXY,0
1237648702970659014,192.973436727166,-1.06421069834047,328777918077495296,18.48603,16.83852,16.999,18.45617,6.649472,2.693785,8.381126,-10587.92,-1555.22,-388.4629,0.6816995,-0.06032945,25.75026,3,3,GALAXY,0
1237648702970659049,193.029532290639,-1.05991987324389,328775444176332800,19.49369,17.60607,17.60547,19.23277,5.117188,2.500813,5.689581,-5994.164,-16.79028,-513.4297,0.05624555,0.0974541,42.87778,3,3,GALAXY,0
1237648702970659380,192.97640003446,-1.09578554750951,328774619542611968,20.65235,19.50161,19.62632,20.64723,3.336197,1.656941,4.773879,-133.475,-5.339716,-0.3570416,-0.1309585,-0.1600385,11.49495,3,3,GALAXY,0
