#Table1
objID,ra,dec,specObjID,psfMag_r,modelMag_r,petroMag_r,fiberMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type,class,class_person
1237648673971437597,189.44854453545,-0.0527452431680111,327722117388855296,17.49277,17.49412,17.53648,17.81282,1.272843,0.6511669,1.404572,-0.816556,-1.208054,-1.193539,-0.2845861,0.007840964,3.404441,6,6,STAR,0
1237651251513917484,243.325847524307,48.7940329470389,700336439673513984,16.42759,16.42863,16.4764,16.73791,1.134145,0.5897182,1.240591,-1.605206,-2.479547,-2.5014,0.1582527,-0.04089189,2.738659,6,6,STAR,0
1237648721235935382,191.95241282492,-0.182023047277931,327658620592351232,16.97555,16.97892,17.03639,17.32709,1.302389,0.661286,1.450452,-0.6288075,-0.8756794,-0.8849116,-0.07628441,-0.01703218,3.334379,6,6,STAR,0
1237648702982586753,220.141625634398,-1.21695828583132,1034869730327947264,19.87293,19.87337,19.95311,20.23931,1.246108,0.6410682,1.464109,-0.7959776,-1.168565,-1.167592,0.01718149,0.06481241,3.203693,6,6,STAR,0
1237654599957545039,160.887776982856,3.49838392834751,650803720501618688,18.87096,18.82943,18.86403,19.17897,1.578296,0.8096439,1.701913,-3.737329,-0.1673137,-0.137865,-0.06538448,-0.06573142,5.336848,6,6,STAR,0
1237651823255486616,237.17254407083,3.52615329200706,668940984503003136,16.21425,16.22226,16.26018,16.54013,1.367161,0.6989615,1.494644,-12.8629,-14.12603,-14.10445,-0.1128421,-0.1285037,3.935051,6,6,STAR,0
1237651823252603009,230.46965644074,3.96798269836108,666642455109593088,18.91099,18.90635,18.97915,19.24294,1.386345,0.7023475,1.416393,-0.468429,-0.6934326,-0.6917561,-0.02192521,-0.05058106,4.115454,6,6,STAR,0
1237651823251751584,228.606725838024,4.12276948746938,665499237844281344,20.10223,20.07102,20.17109,20.43711,1.682525,0.8218812,1.556385,-0.04366371,-0.05466757,-0.05254572,0.01365412,-0.02721339,5.934792,6,6,STAR,0
1237651823251750929,228.53339105989,4.12258380350558,665496489065211904,16.04222,16.04111,16.07916,16.39639,1.678337,0.8438665,1.831105,-10.44455,-5.762589,-5.756364,-0.01824601,-0.004234537,5.617721,6,6,STAR,0
1237651823250964669,226.821196543418,4.15135622816431,664374712914176000,18.2645,18.26804,18.33123,18.60012,1.295011,0.6652934,1.373475,-1.257525,-1.295921,-1.296552,0.001986346,-0.03423826,3.537571,6,6,STAR,0
1237651823250047098,224.626548559288,4.38790810057041,663246888828430336,17.64396,17.64348,17.67704,17.97237,1.437844,0.7347091,1.598137,-0.01352397,-0.03412592,-0.03468849,-0.01291607,-0.05826027,4.29041,6,6,STAR,0
1237651823250047059,224.688937136993,4.45118918581025,663245514438895616,16.01806,16.01895,16.05387,16.34833,1.486723,0.755692,1.627842,-7.722655,-9.21008,-9.32523,-0.005383239,-0.05187996,4.603899,6,6,STAR,0
1237651823249916047,224.364769225018,4.39636971684722,663246613950523392,17.33023,16.96091,16.96255,17.49011,2.156066,0.9530936,2.203561,-5053.892,-682.8619,-821.2966,0.5062448,-0.07117511,7.787821,3,6,STAR,0
1237651822718943281,237.852346146807,3.19813698318228,668955003276257280,18.89653,18.89867,18.95934,19.21973,1.298707,0.6624456,1.345863,-2.238878,-2.868464,-2.872774,0.02798287,-0.1013534,3.643587,6,6,STAR,0
1237651822718550374,236.980550273472,3.13510282740058,668932188409980928,17.50846,17.50925,17.54789,17.82823,1.30833,0.6729597,1.446485,-0.05381248,-0.1036665,-0.1038378,-0.00534275,-0.07718424,3.630869,6,6,STAR,0
1237651822718484921,236.872428495058,3.12944225655645,668931638654167040,19.39283,19.39263,19.43088,19.71167,1.325411,0.6655435,1.411006,-0.311606,-0.4997844,-0.5008568,0.03675466,-0.07391176,3.510118,6,6,STAR,0
1237651822717960784,235.611577139755,3.25489369080051,668895629648357376,20.11721,20.1035,20.07441,20.43224,1.522586,0.7434498,1.786952,-1.229374,-1.569511,-1.566492,-0.04573027,-0.06566842,3.806753,6,6,STAR,0
1237651822717895107,235.477611591988,3.27618978538202,668897278915799040,20.33513,20.32222,20.37573,20.6711,1.4556,0.7221195,1.621741,-0.008500814,-0.02007035,-0.01979846,-0.05936603,-0.008387678,4.128961,6,6,STAR,0
